year,artist,songs,lyrics
2010,taiocruz,breakyourheart,"Now listen to me, baby, Before I love and leave you. They call me heart breaker. I don't wanna deceive you.  If you fall for me, I'm not easy to please. I might tear you apart. Told you from the start. Baby, from the start.  I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart.  There's no point tryna hide it. No point tryna evade it. I know I got a problem. Problem with misbehaving.  If you fall for me, I'm not easy to please. I might tear you apart. Told you from the start. Baby, from the start.  I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart.  And I know karma's gonna get me back for being so cold. Like a big bad wolf I'm born to be bad and bad to the bone. If you fall for me I'm only gonna tear you apart. Told ya from the start.  I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart."
2010,bob,airplanes," Can we pretend that airplanes In the night sky are like shooting stars? I could really use a wish right now A wish right now A wish right now Can we pretend that airplanes In the night sky Are like shooting stars? I could really use a wish right now A wish right now A wish right now   Yeah, I could use a dream or a Genie or a wish To go back to a place much simpler than this 'Cause after all the partyin' and smashin' and crashin' And all the glitz and the glam and the fashion And all the pandemonium and all the madness There comes a time where you fade to the blackness And when you're starin' at that phone in your lap And you're hopin' but them people never call you back But that's just how the story unfolds You get another hand soon after you fold And when your plans unravel in the sand What would you wish for if you had one chance? So airplane, airplane, sorry I'm late I'm on my way so don't close that gate If I don't make that then I'll switch my flight And I'll be right back at it by the end of the night   Can we pretend that airplanes In the night sky are like shooting stars? (Shooting stars) I could really use a wish right now (Wish right now) Wish right now (Wish right now) Wish right now (Wish right now) Can we pretend that airplanes In the night sky Are like shooting stars? (Shooting stars) I could really use a wish right now (Wish right now) Wish right now (Wish right now) Wish right now (Wish right now)   Yeah, yeah, somebody take me back to the days Before this was a job, before I got paid Before it ever mattered what I had in my bank Yeah, back when I was tryin' to get a tip at Subway And back when I was rappin' for the hell of it But nowadays we rappin' to stay relevant I'm guessin' that if we could make some wishes outta' airplanes Then maybe oh maybe I'd go back to the days Before the politics that we call the rap game And back when ain't nobody listened to my mixtape And back before I tried to cover up my slang But this is for Decatur What's up, Bobby Ray? So can I get a wish To end the politics And get back to the music That started this shit? So here I stand and then again I say I'm hopin' we can make some wishes outta' airplanes   Can we pretend that airplanes In the night sky are like shooting stars? (Shooting stars) I could really use a wish right now (Wish right now) Wish right now (Wish right now) Wish right now (Wish right now) Can we pretend that airplanes In the night sky Are like shooting stars? (Shooting stars) I could really use a wish right now (Wish right now) Wish right now (Wish right now) Wish right now (Wish right now)   I could really use a wish right now (oh, oh-oh oh) I-I-I could really use a wish right now Like, like, like shootin' stars (oh, oh... oh) I-I-I-I could really use a wish right now A wish, a wish right now (A wish right now)"
2010,ladygaga,badromance,"Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh Caught in a bad romance Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh Caught in a bad romance Ra-ra-ah-ah-ah Roma Roma-ma Gaga, ""Ooh la-la"" Want your bad romance Ra-ra-ah-ah-ah Roma, Roma-ma Gaga, ""Ooh la-la"" Want your bad romance  I want your ugly, I want your disease I want your everything as long as it's free I want your love Love, love, love, I want your love, oh, ey I want your drama, the touch of your hand (Hey!) I want your leather-studded kiss in the sand I want your love Love, love, love, I want your love (Love, love, love, I want your love)  You know that I want you And you know that I need you I want it bad Your bad romance  I want your love, and I want your revenge You and me could write a bad romance (Oh-oh-oh-oh-oh) I want your love, and all your lover's revenge You and me could write a bad romance Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh Caught in a bad romance Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh Caught in a bad romance  Ra-ra-ah-ah-ah Roma-roma-ma Gaga, ""Ooh la-la"" Want your bad romance  I want your horror, I want your design 'Cause you're a criminal as long as you're mine I want your love Love, love, love, I want your love, uh I want your psycho, your vertigo schtick (Schtick, hey!) Want you in my rear window, baby, you're sick I want your love Love, love, love, I want your love (Love, love, love, I want your love)  You know that I want you And you know that I need you ('Cause I'm a free bitch, baby) I want it bad Your bad romance  I want your love, and I want your revenge You and me could write a bad romance (Oh-oh-oh-oh-oh) I want your love, and all your lover's revenge You and me could write a bad romance Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh Caught in a bad romance Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh Caught in a bad romance  Ra-ra-ah-ah-ah Roma-roma-ma Gaga, ""Ooh la-la"" Want your bad romance Ra-ra-ah-ah-ah Roma-roma-ma Gaga, ""Ooh la-la"" Want your bad romance  Walk, walk, fashion, baby Work it, move that bitch crazy Walk, walk, fashion, baby Work it, move that bitch crazy Walk, walk, fashion, baby Work it, move that bitch crazy Walk, walk, passion, baby Work it, I'm a free bitch, baby  I want your love, and I want your revenge I want your love, I don't wanna be friends Je veux ton amour et je veux ta revanche Je veux ton amour, I don't wanna be friends (Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh) (I want you back) No, I don't wanna be friends (Caught in a bad romance) I don't wanna be friends Want your bad romance (Caught in a bad romance) Want your bad romance  I want your love, and I want your revenge You and me could write a bad romance (Oh-oh-oh-oh-oh) I want your love, and all your lover's revenge You and me could write a bad romance Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh (Want your bad romance) Caught in a bad romance (Want your bad romance) Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh (Want your bad romance) Caught in a bad romance  Ra-ra-ah-ah-ah Roma, Roma-ma Gaga, ""Ooh la-la"" Want your bad romance"
2010,keha,tiktok,"Wake up in the morning feelin' like P. Diddy (Hey. What up, girl?) Grab my glasses, I'm out the door, I'm gonna hit this city (Let's go) Before I leave, brush my teeth with a bottle of Jack 'Cause when I leave for the night, I ain't coming back  I'm talkin' pedicure on our toes, toes Tryin' on all our clothes, clothes Boys blowin' up our phones, phones Drop-toppin', playin' our favorite CDs Pullin' up to the parties Tryna get a little bit tipsy  Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, whoa, whoa, oh, oh, whoa, whoa, oh Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, whoa, whoa, oh, oh, whoa, whoa, oh  Ain't got a care in the world, but got plenty of beer Ain't got no money in my pocket, but I'm already here And now the dudes are linin' up, 'cause they hear we got swagger But we kick 'em to the curb unless they look like Mick Jagger  I'm talkin' 'bout everybody gettin' crunk, crunk Boys tryna touch my junk, junk Gonna smack him if he gettin' too drunk, drunk No-now we go until they kick us out, out or the police shut us down, down Police shut us down, down, po-po shut us down  Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, whoa, whoa, oh, oh, whoa, whoa, oh Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, whoa, whoa, oh, oh, whoa, whoa, oh  (DJ) You build me up, you break me down My heart, it pounds, yeah, you got me With my hands up, you got me now You got that sound, yeah, you got me (DJ) You build me up, you break me down My heart, it pounds, yeah, you got me With my hands up, put your hands up Put your hands up  Now, the party don't start 'til I walk in  Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, whoa, whoa, oh, oh, whoa, whoa, oh Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, whoa, whoa, oh, oh, whoa, whoa, oh"
2010,taiocruz,dynamite," I throw my hands up in the air sometimes Saying AYO! Gotta let go! I wanna celebrate and live my life Saying AYO! Baby, let's go!  I came to dance, dance, dance, dance I hit the floor 'cause that's my plans, plans, plans, plans I'm wearing all my favorite brands, brands, brands, brands Give me some space for both my hands, hands, hands, hands  Yeah, yeah  'Cause it goes on and on and on... And it goes on and on and on...  Yeah!  I throw my hands up in the air sometimes Saying AYO! Gotta let go! I wanna celebrate and live my life Saying AYO! Baby, let's go!  'Cause we gon' rock this club We gon' go all night We gon' light it up Like it's dynamite! 'Cause I told you once Now I told you twice We gon' light it up Like it's dynamite!  I came to move, move, move, move Get out the way of me and my crew, crew, crew, crew I'm in the club so I'm gonna do, do, do, do Just what the fuck, came here to do, do, do, do  Yeah, yeah  'Cause it goes on and on and on... And it goes on and on and on...  Yeah!  I throw my hands up in the air sometimes Saying AYO! Gotta let go! I wanna celebrate and live my life Saying AYO! Baby, let's go!  'Cause we gon' rock this club We gon' go all night We gon' light it up Like it's dynamite! 'Cause I told you once Now I told you twice We gon' light it up Like it's dynamite!  I'm gonna take it all I, I'm gonna be the last one standing Higher over all I, I'm gonna be the last one landing 'Cause I, I, I believe it And I, I, I, I just want it all... I just want it all... I'm gonna put my hands in the air! Hands, hands in the air! Put your hands in the air!  I throw my hands up in the air sometimes Saying AYO! Gotta let go! I wanna celebrate and live my life Saying AYO! Baby, let's go!  'Cause we gon' rock this club We gon' go all night We gon' light it up Like it's dynamite! 'Cause I told you once Now I told you twice We gon' light it up Like it's dynamite!"
2010,train,heysoulsister,"Hey He-e-e-e-ey He-e-e-e-ey  Your lipstick stains On the front lobe of my left-side brains I knew I wouldn't forget you And so I went and let you blow my mind Your sweet moonbeam The smell of you in every single dream I dream I knew when we collided You're the one I have decided who's one of my kind  Hey, soul sister Ain't that Mr. Mister on the radio, stereo? The way you move ain't fair, you know Hey, soul sister I don't wanna miss a single thing you do Tonight  Hey He-e-e-e-ey He-e-e-e-ey  Just in time I'm so glad you have a one-track mind like me You gave my life direction A game-show love connection we can't deny I'm so obsessed My heart is bound to beat right out my untrimmed chest I believe in you, like a virgin, you're Madonna And I'm always gonna wanna blow your mind  Hey, soul sister Ain't that Mr. Mister on the radio, stereo? The way you move ain't fair, you know Hey, soul sister I don't wanna miss a single thing you do Tonight  The way you can cut a rug Watching you's the only drug I need So gangster, I'm so thug You're the only one I'm dreaming of, you see I can be myself now finally In fact, there's nothing I can't be I want the world to see you'll be with me  Hey, soul sister Ain't that Mr. Mister on the radio, stereo? The way you move ain't fair, you know Hey, soul sister I don't wanna miss a single thing you do tonight Hey, soul sister I don't wanna miss a single thing you do Tonight  Hey He-e-e-e-ey He-e-e-e-ey Tonight Hey He-e-e-e-ey He-e-e-e-ey Tonight"
2010,eminem,lovethewayyoulie,"Just gonna stand there and watch me burn Well, that's alright because I like the way it hurts Just gonna stand there and hear me cry Well, that's alright because I love the way you lie I love the way you lie  I can't tell you what it really is I can only tell you what it feels like And right now, there's a steel knife in my windpipe I can't breathe but I still fight while I can fight As long as the wrong feels right it's like I'm in flight High off her love, drunk from her hate It's like I'm huffing paint and I love her the more I suffer, I suffocate And right before I'm about to drown, she resuscitates me She fucking hates me and I love it ""Wait! Where you going?"" ""I'm leaving you!"" ""No you ain't. Come back"" We're running right back Here we go again It's so insane 'cause when it's going good, it's going great I'm Superman with the wind at his back, she's Lois Lane But when it's bad it's awful, I feel so ashamed I snap ""Who's that dude?"" ""I don't even know his name"" I laid hands on her, I'll never stoop so low again I guess I don't know my own strength  Just gonna stand there and watch me burn Well, that's alright because I like the way it hurts Just gonna stand there and hear me cry Well, that's alright because I love the way you lie I love the way you lie I love the way you lie  You ever love somebody so much you can barely breathe when you're with 'em You meet and neither one of you even know what hit 'em Got that warm fuzzy feeling Yeah, them chills used to get 'em Now you're getting fucking sick of looking at 'em You swore you'd never hit 'em; never do nothing to hurt 'em Now you're in each other's face spewing venom in your words when you spit them You push, pull each other's hair, scratch, claw, bit 'em Throw 'em down, pin 'em So lost in the moments when you're in them It's the rage that took over It controls you both So they say it's best to go your separate ways Guess that they don't know you 'cause today that was yesterday Yesterday is over, it's a different day Sound like broken records playing over but you promised her Next time you'd show restraint You don't get another chance Life is no Nintendo game But you lied again Now you get to watch her leave out the window Guess that's why they call it window pane  Just gonna stand there and watch me burn Well, that's alright because I like the way it hurts Just gonna stand there and hear me cry Well, that's alright because I love the way you lie I love the way you lie I love the way you lie  Now I know we said things, did things that we didn't mean And we fall back into the same patterns, same routines But your temper's just as bad as mine is You're the same as me When it comes to love you're just as blinded Baby, please come back It wasn't you, baby it was me Maybe our relationship isn't as crazy as it seems Maybe that's what happens when a tornado meets a volcano All I know is I love you too much to walk away though Come inside, pick up your bags off the sidewalk Don't you hear sincerity in my voice when I talk Told you this is my fault Look me in the eyeball Next time I'm pissed, I'll aim my fist at the drywall Next time? There won't be no next time! I apologize even though I know it's lies I'm tired of the games I just want her back I know I'm a liar If she ever tries to fucking leave again I'mma tie her to the bed and set this house on fire I'm just gonna  Just gonna stand there and watch me burn Well, that's alright because I like the way it hurts Just gonna stand there and hear me cry Well, that's alright because I love the way you lie I love the way you lie I love the way you lie"
2010,usher,omg," Oh my gosh Baby let me I did it again, so I'm gon' let the beat rock Oh my   Baby, let me love you down There's so many ways to love you Baby, I can break you down There's so many ways to love you Got me like, ""Oh my gosh"", I'm so in love I found you finally, you make me want to say Oh oh oh-oh oh, oh oh oh-oh oh Oh oh oh-oh oh, oh oh, oh my gosh (Oh oh oh-oh oh, oh oh oh-oh)  You make me want to say (Oh oh oh-oh oh, oh oh oh-oh) Oh oh oh-oh oh, oh oh oh-oh  I fell in love with shorty when I seen her on the dance floor (Oh oh oh-oh oh, oh oh oh-oh) She was dancing sexy, pop-pop-popping, dropping, dropping low (Oh oh oh-oh oh, oh oh oh-oh) Never ever has a lady hit me on the first sight (Oh oh oh-oh oh, oh oh oh-oh) This was something special, this was just like dynamite (Oh oh oh-oh oh, oh oh oh-oh) Honey got a booty like pow, pow, pow Honey got some boobies like wow, oh wow Girl, you know I'm loving your, loving your style Check, check, check, check, check, checking you out like  Oh She got it all Sexy from her head to toe And I want it all, it all, it all  Baby, let me love you down There's so many ways to love you Baby, I can break you down There's so many ways to love you Got me like, ""Oh my gosh"", I'm so in love I found you finally, you make me want to say Oh oh oh-oh oh, oh oh oh-oh oh Oh oh oh-oh oh, oh, oh my gosh (Oh oh oh-oh oh, oh oh oh-oh)  You make me want to say (Oh oh oh-oh oh, oh oh oh-oh) You make me want to say (Oh oh oh-oh oh, oh oh oh-oh) Oh oh oh-oh oh, oh oh oh-oh   Feel so hot for honey out of all the girls up in the club (Oh oh oh-oh oh, oh oh oh-oh) This one got me whipped just off of one look, yep, I fell in love (Oh oh oh-oh oh, oh oh oh-oh) This one something special, this one just like dynamite (Oh oh oh-oh oh, oh oh oh-oh) O-o-o-o-o-o-o-out of sight Fell in love with honey like my, oh my Honey looking wonderful, fly, so fly Honey like a supermodel, my, oh my Baby, how you do that, make a grown man cry?   Oh Baby, you got it all Sexy from her head to toe And I want it all, it all, it all  So honey, let me love you down There's so many ways to love you Baby, I can break you down There's so many ways to love you Got me like, ""Oh my gosh"", I'm so in love I found you finally, you make me want to say Oh oh oh-oh oh, oh oh oh-oh oh Oh oh oh-oh oh, oh oh, oh my gosh (Oh oh oh-oh oh, oh oh oh-oh)  Oh my gosh (Oh oh oh-oh oh, oh oh oh-oh) Oh my (Oh oh oh-oh oh, oh oh oh-oh) Oh my (Oh oh oh-oh oh, oh oh oh-oh) Oh (Oh oh oh-oh oh, oh oh oh-oh) Oh my gosh (Oh oh oh-oh oh, oh oh oh-oh)   Oh my gosh (Oh oh oh-oh oh, oh oh oh-oh) I did it again, so I'm gon' let the beat rock (Oh oh oh-oh oh, oh oh oh-oh) Oh-oh-oh my, oh oh (Oh oh oh-oh oh, oh oh oh-oh) Oh my, my, my, my, my, my, oh my gosh (Oh oh oh-oh oh, oh oh oh-oh) Oh-oh-oh my, oh oh (Oh oh oh-oh oh, oh oh oh-oh) Oh my, my, my, my, my, my, oh my gosh (Oh oh oh-oh oh, oh oh oh-oh) Oh-oh-oh my, oh oh Oh my, my, my, my, my, my, oh my gosh (Oh oh oh-oh oh, oh oh oh-oh)"
2010,ladyantebellum,needyounow,"""Hey, sorry I missed your call, just leave a message after the beep"" ""Hey, yeah, it's me, just been thinking about everything tonight And I don't know, I just miss you so much Give me a call back if you can?""  Picture perfect memories Scattered all around the floor Reachin' for the phone 'cause I can't fight it anymore  And I wonder if I ever cross your mind For me, it happens all the time  It's a quarter after one, I'm all alone and I need you now Said I wouldn't call, but I've lost all control and I need you now And I don't know how I can do without I just need you now  Another shot of whiskey Can't stop lookin' at the door Wishing you'd come sweeping in the way you did before  And I wonder if I ever cross your mind For me, it happens all the time  It's a quarter after one, I'm a little drunk and I need you now Said I wouldn't call, but I've lost all control and I need you now And I don't know how I can do without I just need you now Whoa, oh  I guess I'd rather hurt than feel nothin' at all  It's a quarter after one, I'm all alone and I need you now And I said I wouldn't call, but I'm a little drunk and I need you now And I don't know how I can do without I just need you now  I just need you now Oh baby, I need you now"
2010,katyperry,californiagurls," Greetings, loved ones Let's take a journey   I know a place Where the grass is really greener Warm, wet and wild There must be something in the water Sippin' gin and juice Laying underneath the palm trees (undone) The boys break their necks Tryna creep a little sneak peek (at us)  You could travel the world But nothing comes close To the golden coast Once you party with us You'll be falling in love  California girls We're unforgettable Daisy Dukes Bikinis on top Sun-kissed skin So hot We'll melt your popsicle  California girls We're undeniable Fine, fresh, fierce We got it on lock West Coast represent Now put your hands up  Sex on the beach We don't mind sand in our stilettos We freak in my Jeep Snoop Doggy Dogg on the stereo  You could travel the world But nothing comes close To the golden coast Once you party with us You'll be falling in love  California girls We're unforgettable Daisy Dukes Bikinis on top Sun-kissed skin so hot We'll melt your popsicle  California girls We're undeniable Fine, fresh, fierce We got it on lock West Coast represent (West Coast) Now put your hands up   Toned, tan, fit and ready Turn it up 'cause it's gettin' heavy Wild Wild West Coast These are the girls I love the most I mean the ones I mean like she's the one Kiss her, touch her, squeeze her buns  The girl's a freak She drive a Jeep And live on the beach I'm okay I won't play I love the bait Just like I love LA Venice Beach and Palm Springs Summertime is everything  Homeboys Bangin' out All that ass hangin' out Bikinis, zucchinis Martinis, no weenies Just the King and the Queeny Katy, my lady (yeah) Lookie here, baby (uh huh) I'm all up on ya 'Cause you're representin' California (oh yeah)   California girls We're unforgettable Daisy Dukes Bikinis on top Sun-kissed skin so hot We'll melt your popsicle  California girls We're undeniable Fine, fresh, fierce We got it on lock West Coast represent (West Coast, West Coast) Now put your hands up   (California, California girls) California girls, man (California, California girls)"
